N,P,K,temperature,humidity,ph,rainfall,crop_type,soil_moisture,sunlight_exposure,wind_speed,co2_concentration,organic_matter,crop_density,pest_pressure,urban_area_proximity,frost_risk,water_usage_efficiency,soil_type,fertilizer_type,irrigation_method
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice,23.53223556,8.766910374,8.119286467,401.0458892,8.410945628,5.545100234,86.37193496,6.334056914,88.25597963,4.937216071,Clayey Soil,Urea,Drip Irrigation
82,40,40,23.83067496,84.81360127,6.271478838,298.5601175,rice,22.69162021,6.605037156,15.55397091,437.1088966,7.030883615,7.031841761,43.38731405,3.515438135,36.92147305,4.652537295,Sandy Soil,Compost,Sprinkler Irrigation
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice,10.92493977,9.817672791,9.747403754,368.0356909,1.81436486,14.08081222,90.09073039,22.93944675,15.5308587,2.82582654,Sandy Soil,Compost,Subsurface Irrigation
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice,14.65936235,7.719460462,18.6770593,407.8865853,4.84693238,8.775049596,98.9995425,21.9793871,10.35963279,3.257700872,Sandy Soil,Compost,Sprinkler Irrigation
76,49,42,24.958779,84.47963372,5.206373153,196.9560008,rice,15.67275092,10.14681184,9.895260932,423.096271,6.422222477,6.765426687,88.55246717,5.510014013,18.33425108,2.243055952,Clayey Soil,Compost,Drip Irrigation
74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,rice,20.81748306,11.91334986,11.20682824,392.4729764,2.514791434,18.05209272,12.79724519,8.956987272,3.006486697,2.389991555,Clayey Soil,NPK Fertilizer,Surface Irrigation
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,rice,16.43493596,8.62085821,7.996159946,373.4682793,4.293714527,5.724663012,51.5098237,39.88277177,95.62224628,2.780030977,Sandy Soil,Urea,Subsurface Irrigation
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,rice,14.83400006,7.029931525,14.43428125,420.6499543,1.705943298,15.95151762,11.01051035,17.10798931,11.03212483,4.338717264,Clayey Soil,Urea,Drip Irrigation
60,36,43,23.43121862,83.06310136,5.286203711,219.9048349,rice,24.81219877,7.16993109,7.12217378,409.3179307,2.264515487,14.05450932,41.56000215,4.335156742,40.45347159,1.179476423,Sandy Soil,NPK Fertilizer,Drip Irrigation
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice,10.90775604,9.518815469,4.538322563,446.2142259,9.711797807,12.27730547,98.53192199,6.659135697,41.29659021,3.342658446,Loamy Soil,Urea,Surface Irrigation
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice,29.14604113,8.706770212,8.006397243,364.4324681,7.237875249,9.94380588,25.96809288,31.22242223,62.3841117,3.893675454,Sandy Soil,NPK Fertilizer,Surface Irrigation
65,60,43,21.97199397,81.89918197,5.658169482,227.3637009,rice,21.27936422,9.694557135,14.75934637,359.3430404,1.561418793,15.13471981,70.62633952,10.19287102,49.99824388,4.331025133,Clayey Soil,Compost,Sprinkler Irrigation
95,52,36,26.22916897,83.83625819,5.543360238,286.5083725,rice,16.40426796,9.506083981,9.96361333,410.9776458,3.747581609,13.66558456,14.43284132,21.74750792,36.90025767,1.732768742,Sandy Soil,NPK Fertilizer,Subsurface Irrigation
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice,13.10490406,10.10608178,17.37441874,420.6999516,1.835565413,11.00629674,99.43025732,14.24064135,78.33727244,3.656482897,Clayey Soil,Compost,Subsurface Irrigation
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice,21.98743158,8.364997215,6.42831241,372.5011977,5.268051691,7.120670963,10.9532296,5.288644976,73.14725206,3.857388006,Sandy Soil,Compost,Surface Irrigation
91,36,45,24.44345477,82.45432595,5.950647577,267.9761948,rice,23.16205187,11.57920146,0.763909874,414.9572079,3.562903107,6.262142767,51.31985891,6.707805125,83.25806597,3.99654455,Clayey Soil,Organic Manure,Sprinkler Irrigation
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice,14.51048033,10.07585415,19.27090892,419.8428193,7.460449894,11.3465998,70.21030642,10.73150788,10.48449811,4.986762808,Clayey Soil,NPK Fertilizer,Subsurface Irrigation
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice,13.53853965,9.153951849,17.43376305,399.2784064,7.792042021,13.83595601,59.36519076,4.531077958,32.65593194,1.562090506,Sandy Soil,Organic Manure,Surface Irrigation
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,rice,14.59236527,10.99423928,1.789767906,393.2001557,3.901738922,5.407176817,8.70053174,18.26143682,20.92699427,3.256415373,Clayey Soil,NPK Fertilizer,Drip Irrigation
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,rice,14.69697351,10.09861248,16.10292342,425.2990992,9.347480668,18.36459059,10.44753609,19.06000449,74.35069868,4.562012265,Sandy Soil,NPK Fertilizer,Subsurface Irrigation
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,rice,19.56912274,8.962662838,17.59924761,430.7068862,5.7807982,14.36741042,1.210089241,7.734178464,30.76431714,1.167809309,Clayey Soil,Organic Manure,Sprinkler Irrigation
70,36,42,21.84106875,80.72886384,6.946209881,202.3838319,rice,13.82585517,9.139950659,13.32771115,366.1557467,3.644763753,14.74598932,28.63624518,49.18398008,77.93952678,1.875337691,Loamy Soil,Organic Manure,Sprinkler Irrigation
76,47,42,20.08369642,83.29114712,5.739175027,263.6372176,rice,12.79855123,8.493220515,14.79314574,361.0209157,1.985335033,7.303002128,13.44538085,42.93040374,66.24336098,3.454027593,Sandy Soil,NPK Fertilizer,Sprinkler Irrigation
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice,16.95235142,10.01805039,14.27777481,401.1430305,4.525618118,11.81226411,47.84099194,33.34644868,23.65629262,3.625787959,Sandy Soil,Urea,Drip Irrigation
99,54,37,21.14347496,80.33502926,5.594819626,198.6730942,rice,15.39395778,9.361882068,2.648310642,353.1164709,9.107231414,17.87947384,66.87910668,29.33649121,23.25736837,1.460022477,Clayey Soil,Compost,Subsurface Irrigation
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,rice,10.30866123,7.191549351,8.510774775,401.4504766,1.241607294,7.322028073,23.52125626,33.87827329,1.911663948,4.537207269,Sandy Soil,Organic Manure,Subsurface Irrigation
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,rice,18.88068523,10.83176702,15.84430833,428.4283883,8.275411802,7.040859782,66.47197176,11.67911687,43.3879302,3.100221279,Loamy Soil,Compost,Drip Irrigation
91,56,37,23.43191632,80.56887849,6.363472208,269.5039162,rice,23.365153,10.63083043,7.055707865,431.4379476,4.595950251,13.75751935,32.2914818,40.37082458,58.59044998,2.538025949,Loamy Soil,Urea,Subsurface Irrigation
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,rice,18.82594598,10.80594637,1.568283991,426.8298893,2.775087902,15.47655842,41.72254046,6.203481961,75.91396561,4.208630799,Loamy Soil,Urea,Drip Irrigation
67,45,38,22.72791041,82.1706881,7.300410836,260.8875056,rice,26.4653712,9.14361398,14.54169247,392.1453114,9.76133822,7.149445704,31.22251249,4.194985621,75.06507364,2.96992008,Clayey Soil,Urea,Drip Irrigation
79,42,37,24.87300744,82.84022551,6.587918708,295.6094492,rice,28.47920875,9.982401859,16.82079657,352.6022203,6.496361728,11.31434753,85.20503231,29.12517904,52.85013704,3.748161739,Sandy Soil,Organic Manure,Drip Irrigation
78,43,42,21.32376327,83.00320459,7.283736617,192.3197536,rice,26.95845815,11.51302404,13.17162044,405.7932062,8.959053348,5.511130496,15.56057336,49.68373216,44.23937121,4.465167105,Clayey Soil,Urea,Sprinkler Irrigation
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,rice,12.69240526,10.10738665,16.37026304,378.8827879,5.711948512,14.3543844,30.00596365,4.97042809,79.47985215,4.561682533,Sandy Soil,Organic Manure,Subsurface Irrigation
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,rice,21.74293462,8.555142535,12.92163058,387.731186,3.05485295,15.38555483,22.1768394,27.38410849,3.715572739,4.975013598,Loamy Soil,Urea,Drip Irrigation
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,rice,11.75158593,7.738664535,8.817489638,416.6140622,7.95050085,11.47911118,47.62393833,6.983647226,62.49022738,3.767585951,Loamy Soil,Compost,Subsurface Irrigation
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,rice,16.51201015,10.91653777,2.841273671,391.0619312,2.62569313,7.382253534,81.30788104,34.22210086,48.72180391,4.367224225,Clayey Soil,Compost,Sprinkler Irrigation
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,rice,29.61540432,6.98451038,2.26160401,442.4042944,1.171969895,16.5694817,85.82209095,36.65283921,34.56122926,1.552999309,Clayey Soil,NPK Fertilizer,Drip Irrigation
81,41,38,22.67846116,83.72874389,7.524080076,200.9133156,rice,25.61909631,7.693171089,9.809661027,417.5945282,5.675302325,18.79716621,20.12295687,38.47677764,91.77639502,2.510486303,Sandy Soil,Compost,Surface Irrigation
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice,19.69262826,10.20137177,1.107988582,424.7263249,4.292831894,17.06814614,62.13732416,27.78524894,65.28885967,3.808248085,Loamy Soil,NPK Fertilizer,Sprinkler Irrigation
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,rice,11.8750269,9.966863661,1.393476354,359.4261704,1.329595616,7.407164229,74.64723653,36.01261618,33.10591165,3.181773324,Loamy Soil,Compost,Surface Irrigation
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,rice,28.76161115,10.21202542,5.06783018,387.7424629,9.609900647,17.63028252,6.947564227,31.01741999,57.30462165,4.556014599,Sandy Soil,Organic Manure,Subsurface Irrigation
67,43,39,26.04371967,84.96907151,5.999969026,186.7536773,rice,16.74705514,11.32283935,3.009587967,365.8711172,2.357073293,7.020516362,99.31161834,39.72124752,60.26723564,1.753562169,Sandy Soil,Compost,Subsurface Irrigation
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,rice,12.61255202,8.168906404,16.11139813,361.3941934,1.40043228,8.360750299,5.256702169,31.93529719,75.56094196,4.843657323,Sandy Soil,NPK Fertilizer,Sprinkler Irrigation
66,60,38,22.08576562,83.47038318,6.372576327,231.7364957,rice,28.29845444,9.381699484,17.49714909,371.3671498,1.978030142,17.25455607,12.7260354,17.06809081,62.23285165,1.726005569,Loamy Soil,NPK Fertilizer,Subsurface Irrigation
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,rice,27.21901118,5.569152368,17.03331181,405.5040918,6.07004278,16.18598717,92.52934573,32.031401,63.60389797,4.697633032,Sandy Soil,Urea,Surface Irrigation
84,50,44,25.48591986,81.40633547,5.935344406,182.6549356,rice,17.88868382,8.449936908,10.59316154,388.4704743,3.940238366,5.183824358,79.06296966,30.20174256,79.19770373,3.741958328,Loamy Soil,Organic Manure,Drip Irrigation
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,rice,25.94992794,11.85680928,6.485574932,415.9530824,3.270701597,10.02693778,4.281976212,39.1550905,64.53883908,4.349212316,Loamy Soil,Compost,Drip Irrigation
91,50,40,20.82477109,84.1341879,6.462391607,230.2242223,rice,12.5065753,10.6717713,4.410430125,396.4712495,6.972058539,11.432462,45.20504157,2.854875356,52.18373865,1.166967143,Loamy Soil,Urea,Drip Irrigation
93,53,38,26.92995077,81.91411159,7.069172227,290.6793783,rice,28.25910002,6.378760463,18.90867635,352.4409811,7.699751399,16.21377419,83.04973571,20.23784754,57.55877859,2.296473029,Sandy Soil,Compost,Sprinkler Irrigation
90,44,38,23.83509503,83.88387074,7.473134377,241.2013513,rice,13.91157578,6.990586093,18.16217499,380.0805206,6.676822838,17.14131135,3.976145352,24.12238201,98.19485079,2.565018944,Sandy Soil,Compost,Subsurface Irrigation
81,45,35,26.52872817,80.12267476,6.158376967,218.9163567,rice,10.66459661,10.30512372,1.980243795,383.2516615,5.786553038,12.46346703,21.71469306,12.37146534,12.09290507,2.510588778,Clayey Soil,Urea,Surface Irrigation
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,rice,17.12287615,8.443883261,3.377293532,399.372514,2.710678978,14.85997325,89.47333636,41.68499536,1.989143679,2.206593657,Loamy Soil,Urea,Subsurface Irrigation
60,51,36,22.69657794,82.81088865,6.028321558,256.9964761,rice,16.19447291,6.423891273,9.298748203,354.790996,4.388515721,7.985093996,33.91551511,19.049282,31.9527204,2.710607987,Sandy Soil,Urea,Subsurface Irrigation
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,rice,23.81684774,5.122433172,13.97593584,357.5823937,4.551065767,7.284444179,88.79185465,29.93185196,48.16128033,2.492718496,Sandy Soil,Urea,Subsurface Irrigation
93,47,37,21.53346343,82.14004101,6.500343222,295.9248796,rice,27.74000908,5.429474149,7.130239309,449.1218921,9.145545239,7.411669392,69.62919255,6.845270438,90.86432427,3.770301717,Loamy Soil,Urea,Drip Irrigation
60,55,45,21.40865769,83.3293191,5.935745417,287.5766935,rice,11.52306557,6.462053282,18.37165819,392.9445046,1.283512423,10.6425008,69.65347817,7.711555753,8.729263909,1.464351869,Clayey Soil,Compost,Surface Irrigation
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,rice,14.77748236,6.996839173,14.83450265,388.5297715,2.054593533,15.94505351,5.211421653,24.69991613,19.91881758,2.761164139,Sandy Soil,Urea,Surface Irrigation
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,rice,28.96831048,10.33915069,11.05668321,421.0235609,9.39300925,5.484538542,29.13715743,13.15546927,55.35620493,4.282289823,Sandy Soil,Organic Manure,Subsurface Irrigation
71,54,16,22.61359953,63.69070564,5.749914421,87.75953857,maize,28.15611424,10.45766016,14.63514584,418.1292074,8.563344115,17.40310422,91.21045169,15.25287627,61.72390607,3.795894645,Sandy Soil,NPK Fertilizer,Drip Irrigation
61,44,17,26.10018422,71.57476937,6.931756558,102.2662445,maize,20.07773569,10.28985964,12.84198823,365.4848925,8.453087186,14.25606549,15.84937292,31.10022804,6.80155675,3.009500931,Sandy Soil,Urea,Drip Irrigation
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,maize,15.37434847,6.339511863,0.095734746,418.9747088,1.08282559,9.989453729,52.25777314,29.0177445,77.92887286,4.85950928,Loamy Soil,Urea,Surface Irrigation
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,maize,27.03065827,6.344720978,16.29883251,409.4140462,5.081608308,7.358802371,52.05437488,11.1822312,67.65339695,3.565479847,Loamy Soil,Compost,Drip Irrigation
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,maize,26.64690297,6.945164306,17.6680332,422.2249571,2.367882778,8.262650457,55.32698828,34.88815235,44.14887002,1.411349382,Clayey Soil,Urea,Drip Irrigation
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,maize,16.91611572,9.282074793,5.541549681,427.2914501,7.960865246,10.35165178,63.23212381,10.08413227,64.89237361,3.855729271,Clayey Soil,Urea,Drip Irrigation
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,maize,23.18737758,10.01862975,19.11508391,361.9329795,9.169777905,12.17747571,49.22027463,1.319744225,2.800504151,4.977450806,Loamy Soil,Urea,Sprinkler Irrigation
89,60,19,25.19192419,66.6902901,5.913664501,78.06639649,maize,23.96198765,7.974367761,12.40660051,375.0466957,6.035312524,13.4968606,62.61306468,1.860616072,47.86273639,3.620136365,Clayey Soil,Compost,Subsurface Irrigation
76,44,17,20.41683147,62.5542482,5.855442401,65.27798457,maize,25.43969222,8.128670502,11.34243797,365.603628,8.104929797,5.778014622,73.55118792,48.56913092,13.02112936,2.972315984,Sandy Soil,Urea,Surface Irrigation
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,maize,18.81080995,7.355747703,4.952370142,410.5604998,3.287584989,12.5503041,73.15099475,13.16491571,62.70727288,1.378187921,Sandy Soil,NPK Fertilizer,Surface Irrigation
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,maize,18.35536638,9.938918604,10.70675035,394.4056602,3.243790608,13.10325264,31.93416462,16.21389843,66.24277217,1.19939497,Clayey Soil,Compost,Sprinkler Irrigation
90,49,21,24.84016732,68.3584573,6.472523287,74.05474936,maize,15.47557541,11.28543692,13.77391153,366.4956707,1.034439939,8.319287109,45.22873453,31.58712929,31.91445608,1.210945364,Clayey Soil,NPK Fertilizer,Subsurface Irrigation
62,52,16,22.27526694,58.84015925,6.967057762,63.87020584,maize,28.81810743,9.363113314,6.868265821,362.5184062,4.311333352,12.54936689,46.38213415,4.84425856,17.86729936,4.357799119,Sandy Soil,Compost,Surface Irrigation
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,maize,16.51598934,9.54149215,5.342120631,411.5608583,3.699982789,8.480648426,4.178685434,5.237154051,67.76069582,3.571591728,Clayey Soil,Urea,Drip Irrigation
66,54,21,25.19008683,60.2001687,5.919045532,72.12375573,maize,20.22015916,7.423576256,19.14571854,351.6591447,1.632583203,14.14616495,70.05089555,5.792494299,52.42581981,4.794256796,Loamy Soil,NPK Fertilizer,Surface Irrigation
63,58,22,18.25405352,55.28220433,6.204747653,63.72358154,maize,29.56440922,11.19298514,6.478686876,357.8076384,1.17251688,8.07616062,88.47086463,10.75682506,14.99456617,3.839186641,Loamy Soil,Compost,Drip Irrigation
70,47,17,24.6129118,70.4162444,6.600827017,104.1626147,maize,20.02109254,10.77222852,12.04576264,392.7139043,6.401624076,10.86753536,12.79989999,31.73682079,64.72764248,1.413741619,Sandy Soil,Organic Manure,Sprinkler Irrigation
61,41,17,25.1420613,65.26185135,6.021902237,76.68456006,maize,29.56406578,9.571397394,12.4210206,395.6082094,4.87563866,13.67233402,34.75603919,29.04560354,4.413343089,4.254663479,Sandy Soil,Urea,Drip Irrigation
66,53,19,23.09348056,60.1159381,6.033550195,65.49730729,maize,17.77730801,8.139861891,15.69418458,394.984592,6.419780586,17.54502485,25.57019969,33.10010699,57.63680063,2.472163106,Clayey Soil,Compost,Surface Irrigation
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,maize,28.36188305,7.681525713,18.63277518,380.7963324,2.640846092,13.71699862,86.71488486,16.07126401,49.73906723,2.045225768,Clayey Soil,Organic Manure,Surface Irrigation
77,57,21,24.9321581,73.80435276,6.550563823,79.74078719,maize,25.08406623,10.39712399,15.48485448,386.8619028,6.71795463,9.154772074,94.91474203,4.953312485,73.17456536,4.491385539,Sandy Soil,Compost,Surface Irrigation
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,maize,16.48383177,9.379188922,16.88292085,371.8112028,6.918472122,7.470003928,26.76354362,37.86246984,42.23117352,4.159630334,Sandy Soil,Organic Manure,Sprinkler Irrigation
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,maize,10.55732789,10.83192583,17.98808005,364.6793402,5.316890645,5.201145336,83.78298077,10.75383948,46.4752708,4.466445884,Clayey Soil,Urea,Sprinkler Irrigation
83,45,21,18.83344471,58.75082029,5.716222912,79.7532896,maize,20.70909764,9.89174412,0.002869983,435.2843445,9.290833683,18.19873966,57.89451147,0.77587815,49.55472891,2.532466668,Sandy Soil,NPK Fertilizer,Subsurface Irrigation
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,maize,21.22619486,11.94740528,13.94758059,431.9805904,2.366770897,13.4117258,40.98109661,44.03384055,82.44241545,1.49217073,Sandy Soil,Organic Manure,Surface Irrigation
